,win,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
14010,0,2.2,3.3,3.4,2.15,3.25,3.4,2.3,3.3,2.9,2.1,3.25,3.5
14011,1,2.1,3.4,3.5,2.1,3.4,3.3,2.1,3.3,3.3,2.05,3.4,3.5
14012,0,1.5,4.2,7.0,1.53,4.0,6.0,1.55,3.9,5.6,1.5,4.0,7.0
14013,0,1.75,3.8,4.75,1.7,3.7,4.75,1.7,3.6,4.7,1.75,3.6,4.5
14014,0,1.6,4.2,5.5,1.57,4.0,5.5,1.55,3.9,5.6,1.55,4.0,6.0
14015,1,1.53,4.33,6.0,1.53,4.0,6.0,1.5,4.0,6.1,1.55,4.0,6.0
14016,1,1.5,4.2,7.0,1.5,4.1,6.25,1.5,4.0,6.1,1.5,4.33,6.0
14017,1,6.5,4.5,1.5,6.0,4.2,1.55,5.2,4.2,1.55,6.0,4.33,1.53
14018,0,1.44,4.5,7.5,1.5,4.1,6.25,1.55,4.0,5.5,1.5,4.33,6.5
14019,2,3.8,3.8,1.91,3.9,3.9,1.95,3.8,3.6,1.85,3.6,3.8,1.85
14020,0,4.0,3.4,1.91,4.2,3.3,1.85,3.9,3.3,1.9,3.75,3.3,1.8
14021,0,5.5,3.75,1.62,5.55,4.05,1.6,5.3,3.5,1.65,4.5,3.5,1.62
14022,1,2.9,3.3,2.4,2.7,3.2,2.5,2.55,3.3,2.55,2.6,3.2,2.38
14023,0,2.2,3.3,3.3,2.1,3.25,3.35,2.0,3.4,3.5,2.0,3.2,3.2
14024,2,3.5,3.3,2.1,3.65,3.3,2.1,3.1,3.3,2.2,3.0,3.2,2.1
14025,2,2.38,3.25,3.0,2.35,3.2,2.9,2.3,3.2,3.0,2.25,3.2,2.75
14026,2,3.25,3.3,2.2,3.1,3.4,2.3,3.1,3.3,2.2,2.75,3.25,2.2
14027,2,4.0,3.75,1.83,4.33,3.6,1.85,3.8,3.5,1.8,3.75,3.3,1.8
14028,2,2.3,3.6,2.8,2.25,3.4,2.9,2.25,3.3,2.8,2.1,3.5,2.75
14029,0,2.38,3.4,2.88,2.35,3.2,2.75,2.3,3.1,2.8,2.38,3.25,3.0
14030,0,1.18,7.0,13.0,1.15,7.0,10.0,1.2,5.2,11.0,1.17,5.5,12.0
14031,2,1.4,4.5,7.5,1.3,5.0,7.0,1.35,4.0,8.0,1.4,3.75,7.0
14032,1,1.33,4.75,10.0,1.33,4.5,7.25,1.33,4.2,8.0,1.36,4.5,9.0
14033,1,1.36,4.75,8.5,1.35,4.5,7.0,1.4,4.0,6.5,1.4,4.33,8.5
14034,1,1.25,5.5,12.0,1.17,6.0,11.0,1.25,4.8,9.5,1.22,6.0,13.0
14035,1,1.17,7.0,15.0,1.15,7.0,10.0,1.22,5.0,10.0,1.17,5.5,12.0
14036,1,1.33,5.0,9.0,1.35,4.75,6.25,1.35,4.2,7.5,1.29,4.5,8.0
14037,1,1.4,4.33,8.5,1.35,4.5,6.75,1.35,4.2,7.5,1.36,4.5,9.0
14038,1,1.33,5.0,9.0,1.3,4.75,7.5,1.4,4.0,6.5,1.33,5.0,9.0
14039,1,2.25,3.3,3.2,2.25,3.25,3.05,2.2,3.1,3.0,2.25,3.3,3.2
14040,1,1.22,6.0,13.0,1.22,5.5,9.0,1.2,5.2,11.0,1.22,6.0,13.0
14041,0,1.25,5.5,12.0,1.22,5.5,9.0,1.25,5.0,9.0,1.29,5.5,9.5
