,win,home_team_api_id,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,away_team_api_id,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
18,-1,1773,52,50,50,53,54,43,44,50,9991,52,50,50,53,54,43,44,50,6.0,4.0,1.0,6.0,4.1,1.5,5.0,3.7,1.5,5.5,3.6,1.5
19,-1,1773,52,50,50,53,54,43,44,50,9985,52,50,50,53,54,43,44,50,4.75,3.6,1.0,4.33,3.6,1.75,4.1,3.3,1.75,4.33,3.4,1.67
20,-1,1773,52,50,50,53,54,43,44,50,8203,52,50,50,53,54,43,44,50,3.1,3.3,2.0,3.1,3.4,2.15,2.7,3.2,2.3,2.5,3.3,2.38
21,1,1773,52,50,50,53,54,43,44,50,9997,52,50,50,53,54,43,44,50,2.25,3.3,2.0,2.2,3.4,3.0,2.3,3.2,2.7,2.3,3.25,2.62
22,1,1773,52,50,50,53,54,43,44,50,8342,52,50,50,53,54,43,44,50,6.0,3.8,1.0,5.25,3.8,1.6,4.5,3.3,1.65,5.0,3.5,1.57
23,0,1773,52,50,50,53,54,43,44,50,10000,52,50,50,53,54,43,44,50,2.9,3.3,2.0,2.9,3.25,2.35,2.6,3.1,2.3,2.5,3.2,2.5
24,0,1773,52,50,50,53,54,43,44,50,9987,52,50,50,53,54,43,44,50,3.6,3.5,2.0,4.0,3.5,1.85,3.6,3.3,1.85,3.25,3.4,1.91
25,0,1773,52,50,50,53,54,43,44,50,10001,52,50,50,53,54,43,44,50,2.3,3.3,3.0,2.35,3.25,2.9,2.3,3.2,2.7,2.2,3.2,2.8
26,-1,1773,52,50,50,53,54,43,44,50,8571,52,50,50,53,54,43,44,50,3.0,3.4,2.0,2.85,3.2,2.4,2.7,3.2,2.3,2.5,3.25,2.4
27,0,1773,52,50,50,53,54,43,44,50,9994,52,50,50,53,54,43,44,50,2.75,3.3,2.0,2.85,3.3,2.35,2.5,3.2,2.5,2.5,3.25,2.4
28,1,1773,52,50,50,53,54,43,44,50,8635,52,50,50,53,54,43,44,50,7.0,4.0,1.0,6.5,4.1,1.42,5.0,3.7,1.5,5.5,3.6,1.5
29,-1,1773,52,50,50,53,54,43,44,50,9984,52,50,50,53,54,43,44,50,3.0,3.4,2.0,2.95,3.25,2.3,3.1,3.2,2.1,2.75,3.2,2.25
30,0,2033,45,52,53,37,43,37,31,44,10212,45,52,53,37,43,37,31,44,1.85,3.4,4.0,1.85,3.4,4.1,0.0,0.0,0.0,1.8,3.4,4.33
31,1,2033,45,52,53,37,43,37,31,44,7841,45,52,53,37,43,37,31,44,2.4,3.25,2.0,2.5,3.25,2.7,2.3,3.1,2.8,2.5,3.1,2.62
